Gene,Exp
CGI-96,6.035337
SNURF,11.831389
RUVBL1,7.614291
ARHGEF11,2.299539
ARMC8,3.042362
DKFZP564O0823,6.256955
PAX8,1.974728
ATCAY,5.554676
KCNH7,1.990713
AK5,2.607
STAC3,2.517309
LOC387856,3.337474
CHMP2A,4.650426
RPS24,11.65171
WDR4,8.563376
BHMT,2.121999
LOC90639,6.239082
HLA-G,4.17651
ZYG11B,8.496668
AZIN1,11.048388
CCR3,1.859789
FBXO4,1.979273
LCE2D,2.296186
FLJ20186,5.903304
OR5AT1,1.512875
TGIF,2.236907
FLYWCH1,2.401538
TIMM17A,3.038677
LOXL2,1.612622
RPL27,12.800859
ITGB1BP3,7.280302
DNM2,6.934234
SH3MD2,5.831402
RBP1,7.838193
VPS13D,3.770793
LOC650645,1.678163
SLC26A8,2.797689
F25965,3.53773
HECTD3,6.504262
SLC1A4,2.221137
TRIM6,7.908911
MDH1,11.771265
PSD3,3.596819
CRIP1,4.091624
SEMA5A,4.414666
REPS2,3.689545
ABLIM3,2.106114
LMO6,2.894457
APCDD1,3.449741
PCDHGC3,2.004735
HIBCH,8.160531
ABO,2.674515
NALP10,1.976884
NFASC,1.531892
FILIP1,5.98945
STARD6,1.590422
ABR,3.161038
ARSK,5.56767
PPIL6,2.210823
C6ORF70,5.199948
SOCS6,3.215527
ZNF533,4.023023
STARD3,4.959924
PTPRU,3.575233
ADAT1,6.837208
FMR1NB,2.096201
C1ORF69,2.863166
MEOX1,2.102458
C19ORF23,2.350893
C8ORF46,1.571761
ACTR3,7.065412
RNF168,2.659208
KRTAP10-5,1.701595
TSNAXIP1,2.14596
SAE1,11.634983
CCL20,3.407518
NUBP2,6.183776
EREG,2.14475
SGCD,1.827763
ALKBH5,10.347397
GUSBL2,5.260724
CPA6,1.305744
SULT1A1,3.089363
CBWD2,2.800229
IGSF1,4.719983
POLR2J,5.086392
DIPA,3.303306
LOC653484,4.824043
PLAG1,2.768685
PODXL2,6.759529
LOC647649,2.266476
CD200R2,1.242409
CBX7,4.960438
LEPREL1,9.507241
RASSF6,1.337488
HMGCR,9.300077
LOC284757,1.674205
SPPL3,4.184182
NUP50,4.476666
