HNF1A,SERPINA1,TFregulation
HNF1A,PDX1,TFregulation
KLF13,HBG2,TFregulation
KLF13,HBG1,TFregulation
YY1,SAP30,PPI
YY1,YAF2,PPI
YY1,SP1,PPI
YY1,HBG2,TFregulation
YY1,HBG1,TFregulation
NFE4,HBG2,TFregulation
NFE4,HBG1,TFregulation
NR2F2,TRIM24,PPI
NR2F2,HBG2,TFregulation
NR2F2,HBG1,TFregulation
PPUR,HBG2,TFregulation
PPUR,HBG1,TFregulation
STAT3,RELA,PPI
STAT3,NCOA1,PPI
STAT3,HNF1A,PPI
STAT3,JUN,PPI
STAT3,STAT1,PPI
STAT3,STAT3,PPI
STAT3,PTPN2,PPI
STAT3,HMOX1,TFregulation
STAT3,VIM,TFregulation
JUP,MUC1,PPI
JUP,TCF7L2,PPI
GLI1,ZIC1,PPI
GLI1,ZIC2,PPI
GLI1,JUP,TFregulation
GLI1,PTCH1,TFregulation
GATA3,TAL1,PPI
GATA3,GCM2,TFregulation
GATA3,MUC1,TFregulation
FOXP1,FOXP1,PPI
ADAR,ILF3,PPI
ADAR,ADAR,PPI
ADAR,ILF2,PPI
hsa-miR-1,FOXP1,miRregulation
hsa-miR-1,ADAR,miRregulation
APH1A,PSEN2,PPI
APH1A,DLL1,PPI
APH1A,NOTCH1,PPI
TFAP4,TARBP2,TFregulation
TFAP4,APH1A,TFregulation
HIST1H1B,HIST4H4,PPI
HINFP,HIST1H1B,TFregulation
HINFP,HIST2H4A,TFregulation
hsa-miR-424,CCND1,miRregulation
hsa-miR-424,NFIA,miRregulation
NOTCH1,YY1,PPI
NOTCH1,PSEN2,PPI
NOTCH1,DLL1,PPI
NOTCH1,RELA,PPI
NOTCH1,SMAD3,PPI
NOTCH1,NFKB1,PPI
NOTCH1,NOTCH1,PPI
E2F3,SP1,PPI
E2F3,YY1,PPI
E2F3,E2F3,PPI
E2F3,EAPP,PPI
hsa-miR-34a,CCND1,miRregulation
hsa-miR-34a,NOTCH1,miRregulation
hsa-miR-34a,E2F3,miRregulation
ESR1,DDX17,PPI
ESR1,TP53,PPI
ESR1,SP1,PPI
ESR1,HSP90AB1,PPI
ESR1,NCOA1,PPI
ESR1,RNF14,PPI
ESR1,ANP32A,PPI
ESR1,HNF4A,PPI
ESR1,RBM39,PPI
ESR1,TCF20,PPI
ESR1,ISL1,PPI
ESR1,GNAI1,PPI
ESR1,RFX4,PPI
ESR1,PIK3R3,PPI
ESR1,SNURF,PPI
ESR1,TRIM24,PPI
ESR1,TUBB,PPI
ESR1,PAK1,PPI
ESR1,TBP,PPI
ESR1,RELA,PPI
ESR1,POU2F1,PPI
ESR1,NFKB1,PPI
ESR1,SMAD3,PPI
ESR1,JUN,PPI
ESR1,GADD45G,PPI
ESR1,SMAD4,PPI
ESR1,ESR1,PPI
ESR1,TFAP2C,TFregulation
ESR1,CCND1,TFregulation
ESR1,MUC1,TFregulation
FGFR2,EPHA4,PPI
FGFR2,FGFR2,PPI
FGFR2,FRS2,PPI
FGFR2,FGF20,PPI
FGFR2,FGFR1,PPI
POU2F1,STIP1,PPI
POU2F1,POLR3E,PPI
POU2F1,NFYA,PPI
POU2F1,TBP,PPI
POU2F1,HNF1A,PPI
POU2F1,RELA,PPI
POU2F1,SOX2,PPI
POU2F1,POU2F1,PPI
POU2F1,JUN,PPI
POU2F1,SNAPC3,PPI
POU2F1,SNAPC1,PPI
POU2F1,SP1,PPI
POU2F1,HBG2,TFregulation
POU2F1,HBG1,TFregulation
POU2F1,FGFR2,TFregulation
POU2F1,HIST1H2BJ,TFregulation
TP53,FBXO11,PPI
TP53,TFAP2C,PPI
TP53,MED17,PPI
TP53,COPS7A,PPI
TP53,USP7,PPI
TP53,HNF4A,PPI
TP53,SP1,PPI
TP53,TBP,PPI
TP53,CABLES1,PPI
TP53,TP53,PPI
TP53,YY1,PPI
TP53,SAT1,PPI
TP53,CDC14B,PPI
TP53,EEF2,PPI
TP53,MDC1,PPI
TP53,SNRPN,PPI
TP53,CD82,TFregulation
TP53,TRIM22,TFregulation
TP53,DKK1,TFregulation
TP53,ATF3,TFregulation
STAT1,JUN,PPI
STAT1,STAT1,PPI
STAT1,KDR,PPI
STAT1,CCND1,TFregulation
STAT1,HBG2,TFregulation
STAT1,HBG1,TFregulation
STAT1,MUC1,TFregulation
VIM,VIM,PPI
ATF3,RELA,PPI
ATF3,NFKB1,PPI
ATF3,ATF3,PPI
ATF3,TP53,PPI
ATF3,JUN,PPI
ATF3,SMAD3,PPI
ATF3,RIF1,PPI
JUN,NCOA1,PPI
JUN,RBM39,PPI
JUN,JUN,PPI
JUN,DDX21,PPI
JUN,SP1,PPI
JUN,HMOX1,TFregulation
JUN,CCND1,TFregulation
JUN,SLC3A2,TFregulation
JUN,CD82,TFregulation
JUN,VIM,TFregulation
JUN,GJA1,TFregulation
JUN,VCAN,TFregulation
JUN,ATF3,TFregulation
APOBEC3G,APOBEC3G,PPI
APOBEC3G,UBC,PPI
HMOX1,HMOX1,PPI
CDH2,JUP,PPI
CDH2,GNA13,PPI
TOP2A,TP53,PPI
TOP2A,JUN,PPI
CCL2,CCL2,PPI
NKX2-1,NCOA1,PPI
APEX1,HNRNPL,PPI
APEX1,SET,PPI
APEX1,TP53,PPI
APEX1,ANP32A,PPI
APEX1,APEX1,PPI
KLF5,SET,PPI
KLF5,NFKB1,PPI
PDX1,PDX1,PPI
TARBP2,TARBP2,PPI
CCND1,E2F3,PPI
CCND1,RELA,PPI
CCND1,E2F4,PPI
CCND1,UBC,PPI
CCND1,ESR1,PPI
CCND1,INSM1,PPI
CCND1,SP1,PPI
CCND1,GSK3B,PPI
CCND1,STAT3,PPI
CCND1,CCND1,PPI
CCND1,NCOA1,PPI
SLC3A2,SLC7A5,PPI
HBG2,HBG2,PPI
GJA1,GJA1,PPI
HAND1,HAND1,PPI
VCAN,CCL2,PPI
VCAN,XCL1,PPI
VCAN,VCAN,PPI
KDR,KDR,PPI
KDR,FRS2,PPI
SLC9A2,SLC9A2,PPI
MUC1,TP53,PPI
SP1,SP1,PPI
SP1,OGT,PPI
SP1,APOBEC3G,TFregulation
SP1,HMOX1,TFregulation
SP1,TFAP2C,TFregulation
SP1,CDH2,TFregulation
SP1,GAST,TFregulation
SP1,TOP2A,TFregulation
SP1,CCL2,TFregulation
SP1,NKX2-1,TFregulation
SP1,APEX1,TFregulation
SP1,KLF5,TFregulation
SP1,PDX1,TFregulation
SP1,TARBP2,TFregulation
SP1,PTHLH,TFregulation
SP1,FLI1,TFregulation
SP1,CCND1,TFregulation
SP1,SLC3A2,TFregulation
SP1,HBG2,TFregulation
SP1,HBG1,TFregulation
SP1,TNC,TFregulation
SP1,PTCH1,TFregulation
SP1,HAS2,TFregulation
SP1,GJA1,TFregulation
SP1,HAND1,TFregulation
SP1,VCAN,TFregulation
SP1,CXCL5,TFregulation
SP1,KDR,TFregulation
SP1,DHFRL1,TFregulation
SP1,SLC9A2,TFregulation
SP1,MUC1,TFregulation
SP1,SLC39A1,TFregulation
SP1,PDPN,TFregulation
SWI5,HMOX1,TFregulation
PHO2,HMOX1,TFregulation
PHO2,SWI5,Dimer
SMAD4,HMG20A,PPI
SMAD4,RNF14,PPI
SMAD4,RFX1,PPI
SMAD4,STAT1,PPI
SMAD4,SMAD4,PPI
SMAD4,SP1,PPI
SMAD4,JUN,PPI
SMAD4,SKIL,PPI
SMAD4,HNF4A,PPI
